Scen1,Scen2,Scen3,Scen4,Scen5
0.1796,0.1976,0.1914,0.1706,0.2608
0.185,0.1776,0.1948,0.2672,0.1754
0.1886,0.1782,0.2864,0.1636,0.1832
0.1686,0.18,0.1666,0.2984,0.1864
0.1658,0.2888,0.1796,0.1938,0.172
0.1822,0.314,0.1706,0.1578,0.1754
0.1772,0.167,0.3022,0.1758,0.1778
0.3038,0.1718,0.1678,0.1718,0.1848
0.1894,0.1524,0.1854,0.1704,0.3024
0.1806,0.1696,0.299,0.172,0.1788
0.2898,0.1898,0.183,0.1614,0.176
0.176,0.1714,0.1736,0.1774,0.3016
0.1582,0.1774,0.28,0.19,0.1944
0.1674,0.1726,0.2814,0.1942,0.1844
0.1764,0.1922,0.1678,0.1766,0.287
0.2856,0.1686,0.18,0.191,0.1748
0.2638,0.1864,0.1666,0.1824,0.2008
0.1616,0.1694,0.2842,0.1976,0.1872
0.2734,0.1898,0.177,0.188,0.1718
0.1768,0.2962,0.1994,0.1646,0.163
0.2842,0.1732,0.1914,0.1684,0.1828
0.186,0.179,0.1728,0.2814,0.1808
0.1838,0.1828,0.1722,0.2806,0.1806
0.181,0.278,0.1732,0.1812,0.1866
0.2488,0.19,0.1742,0.1752,0.2118
0.1938,0.2468,0.1856,0.1808,0.193
0.192,0.1734,0.2204,0.2124,0.2018
0.1924,0.1948,0.2124,0.196,0.2044
0.2198,0.2004,0.2074,0.2016,0.1708
0.1986,0.1934,0.193,0.2158,0.1992
0.202,0.203,0.193,0.1808,0.2212
0.2206,0.1948,0.1852,0.201,0.1984
0.2002,0.199,0.2134,0.1976,0.1898
0.1968,0.1882,0.1948,0.1976,0.2226
0.2256,0.1804,0.2034,0.1802,0.2104
0.2256,0.1918,0.19,0.194,0.1986
0.1748,0.1708,0.2014,0.2534,0.1996
0.1756,0.205,0.1802,0.2674,0.1718
0.1608,0.2076,0.1536,0.1726,0.3054
0.1482,0.163,0.341,0.137,0.2108
0.216,0.1542,0.3572,0.1434,0.1292
0.1648,0.1476,0.1992,0.3618,0.1266
0.4008,0.1592,0.113,0.1694,0.1576
